phrase_index,paraphrase_group_index
0,0
1,0
2,0
3,1
4,1
5,1
6,2
7,2
8,2
9,3
10,3
11,3
12,4
13,4
14,4
15,5
16,5
17,5
18,6
19,6
20,6
21,7
22,7
23,7
24,8
25,8
26,8
27,9
28,9
29,9
30,10
31,10
32,10
33,11
34,11
35,11
36,12
37,12
38,12
39,13
40,13
41,13
42,14
43,14
44,14
45,15
46,15
47,15
48,16
49,16
50,16
51,17
52,17
53,17
54,18
55,18
56,18
57,19
58,19
59,19
60,20
61,20
62,20
63,21
64,21
65,21
66,22
67,22
68,22
69,23
70,23
71,23
72,24
73,24
74,24
75,25
76,25
77,25
78,26
79,26
80,26
81,27
82,27
83,27
84,28
85,28
86,28
87,29
88,29
89,29
90,30
91,30
92,30
93,31
94,31
95,31
96,32
97,32
98,32
99,33
100,33
101,33
102,34
103,34
104,34
105,35
106,35
107,35
108,36
109,36
110,36
111,37
112,37
113,37
114,38
115,38
116,38
117,39
118,39
119,39
120,40
121,40
122,40
123,41
124,41
125,41
126,42
127,42
128,42
129,43
130,43
131,43
132,44
133,44
134,44
135,44
136,45
137,45
138,45
139,46
140,46
141,46
142,47
143,47
144,47
145,48
146,48
147,48
148,49
149,49
150,49
151,50
152,50
153,50
154,51
155,51
156,51
157,52
158,52
159,52
160,53
161,53
162,53
163,54
164,54
165,54
166,55
167,55
168,55
169,56
170,56
171,56
172,57
173,57
174,57
175,58
176,58
177,58
178,59
179,59
180,59
181,60
182,60
183,60
184,61
185,61
186,61
187,62
188,62
189,62
190,63
191,63
192,63
193,64
194,64
195,64
196,65
197,65
198,65
199,66
200,66
201,66
202,66
203,67
204,67
205,67
206,68
207,68
208,68
209,69
210,69
211,69
212,70
213,70
214,70
215,70
216,71
217,71
218,71
219,72
220,72
221,72
222,73
223,73
224,73
225,74
226,74
227,74
228,75
229,75
230,75
231,76
232,76
233,76
234,76
235,77
236,77
237,77
238,78
239,78
240,78
241,79
242,79
243,79
244,80
245,80
246,80
247,81
248,81
249,81
250,82
251,82
252,82
253,83
254,83
255,83
256,84
257,84
258,84
259,85
260,85
261,85
262,86
263,86
264,86
265,87
266,87
267,87
268,88
269,88
270,88
271,89
272,89
273,89
274,90
275,90
276,90
277,91
278,91
279,91
280,92
281,92
282,92
283,93
284,93
285,93
286,94
287,94
288,94
289,95
290,95
291,95
292,95
293,96
294,96
295,96
296,97
297,97
298,97
299,98
300,98
301,98
302,99
303,99
304,99
305,100
306,100
307,100
308,101
309,101
310,101
311,102
312,102
313,102
314,103
315,103
316,103
317,104
318,104
319,104
320,105
321,105
322,105
323,106
324,106
325,106
326,107
327,107
328,107
329,108
330,108
331,108
332,109
333,109
334,109
335,109
336,110
337,110
338,110
339,111
340,111
341,111
342,112
343,112
344,112
345,113
346,113
347,113
348,114
349,114
350,114
351,115
352,115
353,115
354,116
355,116
356,116
357,116
358,117
359,117
360,117
361,118
362,118
363,118
364,119
365,119
366,119
367,120
368,120
369,120
370,121
371,121
372,121
373,122
374,122
375,122
376,123
377,123
378,123
379,124
380,124
381,124
382,125
383,125
384,125
385,126
386,126
387,126
388,127
389,127
390,127
391,127
392,128
393,128
394,128
395,129
396,129
397,129
398,130
399,130
400,130
401,131
402,131
403,131
404,132
405,132
406,132
407,133
408,133
409,133
410,134
411,134
412,134
413,135
414,135
415,135
416,136
417,136
418,136
419,137
420,137
421,137
422,138
423,138
424,138
425,139
426,139
427,139
428,140
429,140
430,140
431,140
432,141
433,141
434,141
435,141
436,142
437,142
438,142
439,143
440,143
441,143
442,143
443,144
444,144
445,144
446,145
447,145
448,145
449,146
450,146
451,146
452,147
453,147
454,147
455,148
456,148
457,148
458,149
459,149
460,149
461,150
462,150
463,150
464,150
465,150
466,151
467,151
468,151
469,152
470,152
471,152
472,153
473,153
474,153
475,154
476,154
477,154
478,155
479,155
480,155
481,155
482,156
483,156
484,156
485,157
486,157
487,157
488,157
489,158
490,158
491,158
492,159
493,159
494,159
495,160
496,160
497,160
498,161
499,161
500,161
501,162
502,162
503,162
504,163
505,163
506,163
507,164
508,164
509,164
510,165
511,165
512,165
513,166
514,166
515,166
516,167
517,167
518,167
519,168
520,168
521,168
522,168
523,169
524,169
525,169
526,170
527,170
528,170
529,171
